"agency_cd","site_no","station_nm","dec_lat_va","dec_long_va","coord_acy_cd","dec_coord_datum_cd","state_cd","county_cd","country_cd","huc_cd","rt_bol","BDG_ID"
"USGS","05114000","SOURIS RIVER NR SHERWOOD, ND","48.9900156","-101.9582209","F","NAD83","38","75","US","09010001","1","d41933d425024ec696db45d982966d42_05NDA00"
"USGS","05116000","SOURIS RIVER NR FOXHOLM, ND","48.3722357","-101.5054414","F","NAD83","38","101","US","09010001","1","3ad64b5c5fc54e239630401ba6cd7134_05NDA00"
"USGS","05117500","SOURIS RIVER ABOVE MINOT, ND","48.2458428","-101.3712745","F","NAD83","38","101","US","09010001","1","ce428e1164fb4e2797bb56ff383be5ef_05NDA00"
"USGS","05120000","SOURIS RIVER NR VERENDRYE, ND","48.15972928","-100.7295863","F","NAD83","38","49","US","09010003","1","47cb26f337c043a8bf7e173010b58bee_05NFB00"
"USGS","05120500","WINTERING RIVER NR KARLSRUHE, ND","48.13833739","-100.5398623","F","NAD83","38","49","US","09010003","1","8c2a745fb37c4d1a8df38f25a7e5aeea_05NFB00"
"USGS","05121000","SOURIS RIVER WEST OUTFALL AT EATON DAM NR TOWNER","48.275","-100.4927778","S","NAD83","38","49","US","09010003","1","b24f7b61ceab472fb52a0495959d39f2_05NFB00"
"USGS","05121001","SOURIS RIVER EAST OUTFALL AT EATON DAM NR TOWNER","48.2758333","-100.4880556","S","NAD83","38","49","US","09010003","1","5bb82d83ec0143a590313324e09c8c96_05NFB00"
"USGS","05122000","SOURIS RIVER NR BANTRY, ND","48.50555109","-100.4348534","F","NAD83","38","49","US","09010003","1","70cb378dc9df4487a374786fd9dffe29_05NFB00"
"USGS","05123510","DEEP RIVER NR UPHAM, ND","48.5841795","-100.8626452","F","NAD83","38","49","US","09010005","1","583b4f0d2fe14f3fa23e3a819110853d_05NFA00"
"USGS","05124000","SOURIS RIVER NR WESTHOPE, ND","48.9964079","-100.9584889","F","NAD83","38","9","US","09010003","1","a536171eecbf4d66afc93629df2488dc_05NFB00"
"USGS","06133500","N F Milk River ab St. Mary canal nr Browning MT","48.9707833","-113.0559694","1","NAD83","30","35","US","10050001","1","e45c4a801f83405581187c4aa7aa3e57_11AAA00"
"USGS","06135000","Milk River at Eastern Crossing of Int Bndry","48.9748194","-110.4217778","1","NAD83","30","41","US","10050002","1","1f7ca207935a4d11abace5dc4b4270b2_11AAB00"
